	passenger_count	trip_distance	total_amount
0	1	1.63	17.8
1	1	0.46	8.3
2	1	0.87	11.0
3	1	2.13	17.16
4	1	1.4	10.3
5	1	1.4	10.55
6	1	1.8	16.3
7	4	11.9	73.84
8	1	1.27	15.8
9	1	0.6	6.3
10	3	0.01	52.8
11	1	1.65	14.8
12	1	1.14	11.3
13	2	0.5	6.6
14	1	1.28	8.8
15	2	0.6	4.8
16	1	1.41	15.36
17	1	0.7	8.8
18	1	1.9	19.12
19	1	1.1	7.3
20	1	3.9	19.55
21	1	1.99	14.12
22	1	1.94	13.3
23	1	1.1	12.36
24	1	3.8	26.75
25	1	1.2	10.55
26	1	0.94	8.8
27	5	1.35	8.8
28	2	1.9	11.8
29	1	1.3	10.3
30	6	0.81	9.3
31	5	1.92	15.8
32	1	0.7	6.8
33	1	0.8	6.3
34	5	0.85	9.36
35	1	2.06	12.3
36	1	1.3	13.55
37	1	0.8	14.75
38	1	0.5	7.85
39	2	5.28	24.96
40	1	0.8	7.56
41	1	0.69	9.96
42	2	0.41	5.76
43	2	5.3	33.35
44	1	1.3	14.15
45	1	0.7	6.3
46	1	1.6	15.8
47	1	0.99	6.8
48	1	1.6	10.3
49	5	0.57	5.3
50	2	4.0	30.94
51	1	1.7	12.3
52	1	1.62	11.3
53	1	2.05	14.75
54	1	2.0	12.8
55	1	2.1	17.3
56	1	4.71	22.88
57	1	3.15	27.25
58	1	3.07	13.3
59	1	0.9	12.3
60	1	9.3	34.84
61	1	1.7	16.8
62	6	0.51	5.8
63	1	5.8	30.8
64	1	1.6	24.96
65	2	3.8	34.56
66	1	1.5	11.15
67	3	2.5	12.3
68	1	2.1	15.36
69	1	0.89	7.3
70	1	0.83	9.3
71	6	0.88	14.04
72	5	6.24	18.8
73	1	12.65	63.55
74	5	0.76	9.36
75	1	1.8	15.8
76	1	1.0	8.5
77	1	1.34	17.76
78	1	2.0	12.96
79	1	1.99	13.8
80	1	0.95	10.56
81	2	0.78	11.3
82	3	10.24	43.8
83	1	1.2	12.35
84	1	1.95	15.3
85	2	0.76	9.75
86	2	0.5	6.3
87	1	0.76	7.54
88	2	23.76	94.0
89	1	2.61	16.56
90	1	0.9	15.8
91	1	2.43	14.76
92	1	8.2	34.3
93	5	1.9	18.36
94	1	0.81	7.56
95	1	0.91	9.3
96	1	1.4	13.3
97	1	2.8	16.56
98	1	1.8	14.3
99	5	1.85	12.3
100	1	0.7	5.8
101	1	3.46	27.8
102	2	1.14	8.8
103	1	2.2	23.15
104	1	2.0	17.15
105	1	1.8	12.8
106	1	2.33	14.76
107	4	1.48	12.96
108	1	5.5	27.3
109	2	1.54	9.8
110	5	1.75	13.56
111	2	4.8	29.75
112	2	3.85	15.8
113	1	9.1	36.35
114	1	0.87	5.8
115	1	0.8	9.95
116	1	1.7	14.3
117	1	1.7	11.75
118	1	0.7	8.15
119	1	2.5	14.3
120	1	0.5	5.8
121	1	2.7	26.0
122	1	1.1	10.3
123	1	0.5	8.15
124	1	10.6	58.0
125	2	0.4	5.8
126	3	1.06	11.16
127	1	1.52	10.3
128	4	3.46	20.16
129	5	3.17	29.76
130	4	0.63	5.3
131	2	1.72	15.36
132	1	1.3	12.8
133	1	0.9	8.3
134	1	1.33	11.76
135	4	6.2	23.3
136	1	1.93	9.3
137	1	0.8	6.3
138	1	0.3	6.95
139	1	0.3	5.15
140	1	0.52	4.8
141	2	0.55	7.3
142	2	0.6	12.3
143	1	3.4	24.96
144	1	7.4	34.34
145	1	0.8	7.3
146	6	1.21	12.25
147	1	0.91	6.3
148	1	12.35	65.42
149	1	0.0	4.3
150	1	1.45	12.96
151	1	1.2	7.8
152	1	7.35	25.3
153	1	5.8	21.8
154	2	4.45	30.96
155	1	11.6	52.55
156	1	1.71	14.3
157	1	0.7	6.95
158	1	1.0	11.3
159	1	2.27	14.8
160	1	2.4	20.76
161	5	0.7	7.8
162	1	0.1	52.8
163	1	1.49	10.3
164	1	1.2	20.75
165	1	0.8	8.75
166	1	0.48	5.3
167	1	7.3	32.15
168	1	0.98	9.36
169	1	2.9	21.3
170	1	4.8	25.5
171	1	1.34	16.56
172	1	1.69	7.8
173	2	1.11	7.8
174	1	6.65	45.96
175	1	0.4	4.3
176	1	0.76	8.16
177	1	6.93	26.3
178	1	2.6	19.1
179	1	0.97	9.36
180	1	1.0	9.3
181	1	2.2	13.3
182	1	0.9	11.3
183	1	1.91	10.3
184	1	0.82	10.56
185	1	1.0	11.6
186	1	1.2	12.09
187	1	1.05	11.8
188	6	1.84	14.16
189	1	0.86	9.3
190	1	1.06	13.8
191	1	2.68	17.8
192	3	0.6	6.24
193	1	0.3	5.76
194	1	1.97	22.56
195	1	1.0	7.8
196	1	0.5	12.3
197	6	7.45	32.16
198	1	1.74	10.56
199	5	0.74	7.56
200	1	1.87	14.3
201	1	1.24	12.3
202	1	7.07	35.16
203	1	0.81	5.3
204	2	1.08	13.55
205	1	1.1	9.96
206	1	1.6	15.36
207	2	1.79	10.3
208	1	4.3	21.3
209	1	2.1	11.3
210	1	1.92	11.8
211	6	10.85	63.55
212	1	1.5	11.62
213	1	0.5	6.3
214	2	1.53	9.96
215	2	2.1	20.15
216	1	0.46	7.25
217	1	14.84	58.01
218	1	4.3	32.83
219	1	1.57	13.56
220	1	1.0	13.3
221	2	1.46	9.3
222	5	6.53	19.8
223	1	2.1	14.3
224	1	0.38	7.56
225	2	1.17	9.8
226	1	0.71	9.36
227	3	2.5	20.75
228	5	2.14	12.8
229	1	1.2	8.3
230	1	1.1	11.3
231	1	1.68	18.36
232	6	4.2	17.3
233	1	1.27	9.3
234	1	1.1	9.35
235	1	0.96	10.3
236	1	0.5	5.8
237	1	1.7	9.35
238	1	18.32	61.94
239	1	1.22	19.56
240	1	4.45	22.8
241	1	2.1	21.8
242	6	0.57	7.8
243	1	1.14	12.36
244	1	1.6	11.3
245	1	2.3	11.8
246	1	0.0	3.3
247	2	1.15	9.8
248	1	1.4	16.6
249	1	1.0	9.96
250	1	1.5	10.8
251	6	1.48	11.0
252	1	4.31	30.8
253	1	1.04	10.3
