	passenger_count	trip_distance	tip_amount	total_amount	tip_percentage
0	1	1.63	0.0	17.8	0.0
1	1	0.46	1.0	8.3	0.12048192771084336
2	1	0.87	2.2	11.0	0.2
3	1	2.13	2.86	17.16	0.16666666666666666
4	1	1.4	0.0	10.3	0.0
5	1	1.4	1.75	10.55	0.16587677725118483
6	1	1.8	3.0	16.3	0.18404907975460122
7	4	11.9	15.0	73.84	0.20314192849404117
8	1	1.27	0.0	15.8	0.0
9	1	0.6	0.5	6.3	0.07936507936507936
10	3	0.01	0.0	52.8	0.0
11	1	1.65	2.0	14.8	0.13513513513513511
12	1	1.14	0.0	11.3	0.0
13	2	0.5	1.3	6.6	0.196969696969697
14	1	1.28	0.0	8.8	0.0
15	2	0.6	0.0	4.8	0.0
16	1	1.41	2.56	15.36	0.16666666666666669
17	1	0.7	0.0	8.8	0.0
18	1	1.9	3.82	19.12	0.19979079497907948
19	1	1.1	0.0	7.3	0.0
20	1	3.9	3.25	19.55	0.16624040920716113
21	1	1.99	2.82	14.12	0.19971671388101983
22	1	1.94	0.0	13.3	0.0
23	1	1.1	2.06	12.36	0.16666666666666669
24	1	3.8	4.45	26.75	0.16635514018691588
25	1	1.2	1.75	10.55	0.16587677725118483
26	1	0.94	0.0	8.8	0.0
27	5	1.35	1.0	8.8	0.11363636363636363
28	2	1.9	0.0	11.8	0.0
29	1	1.3	0.0	10.3	0.0
30	6	0.81	0.0	9.3	0.0
31	5	1.92	0.0	15.8	0.0
32	1	0.7	0.0	6.8	0.0
33	1	0.8	0.0	6.3	0.0
34	5	0.85	1.56	9.36	0.16666666666666669
35	1	2.06	0.0	12.3	0.0
36	1	1.3	2.25	13.55	0.16605166051660517
37	1	0.8	2.45	14.75	0.16610169491525426
38	1	0.5	1.55	7.85	0.19745222929936307
39	2	5.28	4.16	24.96	0.16666666666666666
40	1	0.8	1.26	7.56	0.16666666666666669
41	1	0.69	1.66	9.96	0.16666666666666666
42	2	0.41	0.96	5.76	0.16666666666666666
43	2	5.3	5.55	33.35	0.1664167916041979
44	1	1.3	2.35	14.15	0.16607773851590107
45	1	0.7	0.0	6.3	0.0
46	1	1.6	0.0	15.8	0.0
47	1	0.99	0.0	6.8	0.0
48	1	1.6	0.0	10.3	0.0
49	5	0.57	0.0	5.3	0.0
50	2	4.0	7.14	30.94	0.23076923076923075
51	1	1.7	0.0	12.3	0.0
52	1	1.62	1.5	11.3	0.1327433628318584
53	1	2.05	2.95	14.75	0.2
54	1	2.0	0.0	12.8	0.0
55	1	2.1	0.5	17.3	0.028901734104046242
56	1	4.71	4.58	22.88	0.20017482517482518
57	1	3.15	5.45	27.25	0.2
58	1	3.07	1.0	13.3	0.07518796992481203
59	1	0.9	2.0	12.3	0.16260162601626016
60	1	9.3	0.0	34.84	0.0
61	1	1.7	1.0	16.8	0.05952380952380952
62	6	0.51	0.0	5.8	0.0
63	1	5.8	1.0	30.8	0.032467532467532464
64	1	1.6	4.16	24.96	0.16666666666666666
65	2	3.8	5.76	34.56	0.16666666666666666
66	1	1.5	1.85	11.15	0.16591928251121077
67	3	2.5	0.0	12.3	0.0
68	1	2.1	2.56	15.36	0.16666666666666669
69	1	0.89	0.0	7.3	0.0
70	1	0.83	0.0	9.3	0.0
71	6	0.88	3.24	14.04	0.2307692307692308
72	5	6.24	0.0	18.8	0.0
73	1	12.65	12.71	63.55	0.2
74	5	0.76	1.56	9.36	0.16666666666666669
75	1	1.8	0.0	15.8	0.0
76	1	1.0	1.7	8.5	0.19999999999999998
77	1	1.34	2.96	17.76	0.16666666666666666
78	1	2.0	2.16	12.96	0.16666666666666666
79	1	1.99	1.5	13.8	0.10869565217391304
80	1	0.95	1.76	10.56	0.16666666666666666
81	2	0.78	1.0	11.3	0.08849557522123894
82	3	10.24	5.5	43.8	0.12557077625570778
83	1	1.2	2.05	12.35	0.16599190283400808
84	1	1.95	0.0	15.3	0.0
